Ngày,BSR,CNG,GAS,PEQ,PGC,PGD,PGS,PLX,POS,POW,PTV,PVB,PVC,PVD,PVG,PVS
02/03/2026,6.89,4.62,6.95,14.91,6.87,6.98,7.0,6.92,12.9,6.9,6.38,9.84,10.0,6.99,9.72,9.92
03/03/2026,6.9,4.79,6.93,-7.75,-0.56,6.33,-0.91,6.96,1.43,6.77,14.0,1.69,9.63,6.9,8.86,4.8
04/03/2026,6.17,-3.16,4.29,2.92,-6.74,-1.62,0.37,5.14,-8.45,-6.65,14.04,-5.24,6.34,1.93,8.14,-4.76
05/03/2026,-5.94,-3.81,-6.99,-16.67,-5.42,-6.42,-9.69,-6.91,-2.56,-1.94,13.85,-7.04,-8.26,-6.11,-7.53,-1.92
06/03/2026,4.07,-2.83,-6.35,,-2.87,-1.96,3.24,-4.17,-5.26,-3.96,14.86,-1.08,-2.0,0.12,-6.98,0.0
09/03/2026,-2.56,-6.99,-6.96,-12.2,-6.89,-6.6,-1.96,-6.94,-11.11,-6.87,14.12,-9.84,-9.69,-6.62,-10.0,-10.0
10/03/2026,-6.37,1.04,-7.0,3.64,-1.76,2.78,1.8,-6.93,5.0,-3.32,-14.43,-6.97,-6.21,0.13,-2.78,-8.06
11/03/2026,6.95,2.69,6.19,-8.57,0.72,0.62,3.93,2.79,1.19,3.44,-4.82,5.86,9.64,4.17,5.71,6.64
12/03/2026,4.56,-1.01,-4.17,1.44,0.71,0.0,,-5.8,0.59,-1.11,-13.92,-1.85,5.49,0.12,-1.35,-3.33
13/03/2026,-6.88,0.0,-6.99,16.59,0.71,-0.62,,-6.92,-0.58,-0.75,16.18,-5.96,-6.25,-3.03,-4.11,-8.05
16/03/2026,-6.96,-1.63,-4.25,,-1.05,0.21,,-3.51,0.0,-0.75,-13.92,1.33,-3.33,-7.0,-2.86,4.5
17/03/2026,-6.87,0.83,-1.71,-12.2,-0.35,0.83,,-2.25,-2.35,-0.76,0.0,-0.33,-3.45,-6.72,-1.47,-4.31
18/03/2026,0.49,0.82,6.13,,0.71,-2.68,,6.13,2.41,1.53,8.82,4.95,9.52,6.92,2.99,7.5
19/03/2026,-4.4,-2.44,-3.93,12.27,-1.77,0.0,,-5.06,-0.59,-2.63,-4.05,-3.77,-3.26,-0.81,0.0,-0.23
