Quarter,BSR,CNG,GAS,PEQ,PGC,PGD,PGS,PLX,POS,POW,PVB,PVC,PVD,PVG,PVS
Q1.2020,0.6833334155,1.0506397379,2.6685068989,,0.9000465785,1.863520218,0.6575564653,2.7081305037,0.4388442153,0.7977938951,0.7217471592,0.3140251714,0.27159971,0.5444238651,0.4607634482
Q2.2020,0.7583855276,1.1113630983,2.6517904411,,1.4558012726,1.7310912998,0.7493312996,2.9598156028,0.5461025032,0.7847161342,0.6242283322,0.3751317966,0.3282810188,0.5630259241,0.5033983258
Q3.2020,1.2533046158,1.2931778135,3.54643129,,1.2536611525,2.3172960753,0.9061079367,3.0129368164,0.8511273716,0.9897300436,0.814806274,0.5118821385,0.5035244492,0.7400281075,0.5955716412
Q4.2020,1.5108162451,1.1162738248,3.2363059888,,1.3546538133,2.0152257198,0.9359639772,2.9915605568,0.8153172455,1.0093833794,0.8196379254,0.634542655,0.604482925,0.7279599127,0.7909993333
Q1.2021,1.5765244062,1.2562370512,3.3360389421,,1.2118947591,2.0132526996,0.8736350843,2.6330675117,0.6283021884,0.8232031375,0.7164668416,0.6123554278,0.5856601885,0.6304617451,0.9455983398
Q2.2021,2.0127291985,2.0740813581,4.5430045341,,2.1114888547,2.2767012213,1.4708632467,2.8034183153,1.3744422755,0.9858334385,0.997275432,0.874656693,0.7595945027,1.2906976106,1.126896991
Q3.2021,2.074818506,1.6249119505,4.1660757137,,1.6134132458,2.0752060668,1.1746171321,2.7964278543,0.9431687643,1.1950945692,1.1027097162,1.0407960381,1.0493180024,0.8292796229,1.1174558115
Q4.2021,2.1413992489,2.2252231427,3.970675188,,1.4787656648,2.2769368057,1.2167578513,2.4275576895,0.8987486574,1.0753467103,1.1662561744,1.3554298518,0.754760029,1.1774989613,0.9959164065
Q1.2022,1.7440887284,1.5898399976,3.3783942726,,1.3019413549,1.9063711648,1.1787363623,1.9902724666,0.6807188447,1.0430025973,0.8271879196,1.1112447512,0.6223695872,0.7241871596,0.942653972
Q2.2022,1.2360508216,1.5608977907,3.4811629665,,1.3531220398,1.695006983,1.3472176426,1.8448034052,0.6347322434,0.8386695832,0.927433702,1.2348772728,0.7953688396,0.6787419133,0.916704149
Q3.2022,0.9378715193,1.287742254,3.5312509311,,1.1436897759,1.7574953834,1.321199006,2.0206911001,0.5195177321,0.9354562178,0.717072444,1.0345669898,0.7941844476,0.5474832416,0.9183049905
Q4.2022,1.0056052694,1.3276721463,3.1367488976,,1.2239310303,1.8691528933,1.275740089,1.8934561444,0.5519723557,1.0053092588,0.8200750028,1.0753355532,0.8228261784,0.5710934464,1.0014234528
Q1.2023,1.0614478379,1.958377789,2.9224925827,,1.1674322709,2.9210490728,1.1756490404,2.1048700482,0.6313446188,0.9993816743,1.4261328795,1.288638539,1.0116938648,0.7268625771,1.3028783322
Q2.2023,1.2536485437,1.9909446046,2.9903389974,,1.1640626449,2.3743821744,1.439055173,1.881064623,0.6606372054,0.8640495526,1.1899534717,1.2472166842,1.1076794594,0.7423263276,1.5005736148
Q3.2023,1.0360909989,1.734373361,2.8056344424,,1.0422095772,2.7942938195,1.3654297799,1.7559005961,0.6488761783,0.8617543747,1.2113783539,1.2405887663,1.0256374394,0.6736590414,1.3861233844
Q4.2023,1.0560764855,2.1666404608,2.8579827186,,1.0338046489,2.6311806533,1.4111744322,1.8050178174,0.9133318108,0.8386491958,1.4734964498,1.413865729,1.2436419849,0.6796264421,1.6013785657
Q1.2024,1.2593612745,2.0165572316,2.6891547454,,0.9989087731,2.3933769728,1.5994618634,2.1789304506,1.1622549753,1.1377968167,1.6951136425,1.3017210405,1.1010940278,0.6110703833,1.5428961213
Q2.2024,1.2415249836,1.9766869579,2.4551161884,,1.0590464468,1.9932139015,1.7193658795,2.2216291539,1.0708504938,0.9492013507,1.6765911729,1.1331293133,0.9717279362,0.5683171891,1.4561663665
Q3.2024,0.0,1.8514297322,2.6906292094,,1.1220023772,1.9041635869,1.5798905526,1.9844090881,1.0242580082,0.8530213017,1.7777204703,0.8903864276,0.8177316736,0.6273737063,1.1620652292
Q4.2024,0.890952709,1.6159902831,2.2630470305,,1.018209383,2.0100521973,1.5372998575,1.6405535249,0.8988747639,0.8633166246,1.4427017816,0.7828550786,0.6191166373,0.5240214128,0.8806467733
Q1.2025,1.0260230998,1.6153376645,2.535875284,2.0588146961,0.9388943942,1.6975412537,1.7776014377,1.8222791271,0.9309466058,1.0094626266,1.7075934324,1.0070933567,0.7114997054,0.5450428449,1.1451746483
Q2.2025,1.5361010229,1.5097270268,2.1473065516,,1.0091058145,1.5505083811,2.2094221862,1.7041972626,0.8780856794,1.0232564569,1.5565917339,0.9451930235,0.6997185789,0.5232148931,1.0718943106
Q3.2025,1.8661279,1.4420048112,3.9742126934,,1.0124024027,1.4999877449,2.6335115122,2.4020689095,0.9830995857,1.2253772216,1.9127549182,1.2623283689,0.9756624423,0.5922278559,1.4360059744
Q4.2025,2.5387153885,1.3570657911,3.3376206922,,0.9790299379,1.5834364017,2.5962648245,2.3558400146,0.8790648705,1.0980191736,1.5653257664,1.5624916037,1.2247050593,0.5459378361,1.4638526599
