Quarter,BSR,CNG,GAS,PEQ,PGC,PGD,PGS,PLX,POS,POW,PTV,PVB,PVC,PVD,PVG,PVS
Q1.2020,-222.6830355298,6.5717147593,12.0681152201,,6.1659399983,10.9369934229,18.4205466118,40.9269441439,9.7168005597,10.604738451,23.6873805176,3.6082693275,12.0132806626,12.6096099796,-13.5584311325,11.9206048507
Q2.2020,-10.5869817318,9.4566299124,13.8988126612,,8.8457063092,14.7581897647,44.8498489315,51.7000348873,7.83644073,10.1660742479,5.1067943572,1.9954992594,29.4163057855,17.8700692987,-26.1453587715,11.918295098
Q3.2020,-14.6632141672,16.0231685981,18.1404624463,,8.3128455577,15.6942003603,29.8090775078,59.6193159879,7.8257815192,17.7441408406,16.4306900742,2.5627664805,48.4106630931,26.2173364575,-998.1593797107,11.3639392878
Q4.2020,-16.6340872433,11.4345300007,19.9558732802,,8.8352502046,13.1951167756,16.2774868673,66.62691675,6.576627948,12.1796360606,-78.2335082971,5.5648568298,88.2138650854,44.7553147359,685.336974851,15.3961261798
Q1.2021,37.6352115617,12.873151013,22.431872868,,7.2533008034,14.0579949356,9.3239195917,17.0450807692,4.8031991587,10.5226330842,0.0,168.8480283075,87.0348431397,141.6744902401,18.0350067192,17.0303478778
Q2.2021,13.9974379762,14.0054748812,26.5650071891,,11.9213113242,12.6457297148,12.5536026302,16.7002382593,11.4164783569,12.4275187515,-30.9121536256,-8.8149010554,44.777137966,14076.995744425,33.759365496,24.2610388125
Q3.2021,13.7875591503,10.2882758134,24.4051826428,,11.0340257687,10.9345813503,11.8148516669,21.1321973861,15.5603536044,13.1932995339,498.4171057415,-9.7452409818,62.6278393848,493.197435256,19.3779948015,23.3531723501
Q4.2021,11.9800033294,14.1077722382,23.3920808557,,10.5313297526,12.4003430223,15.4694724266,21.1882028313,26.7130482574,17.1224276946,-968.716118919,762.1427846722,118.6707306161,525.2487391111,39.9417816934,19.5587934971
Q1.2022,9.7011823482,8.6275667357,18.2996427342,,9.8205314691,9.3636509605,12.2638233049,20.949883782,19.733103166,15.284169867,-59.3817141189,21.6675526135,70.0112330145,127.0602891631,30.404139396,16.8149893082
Q2.2022,3.8745197844,6.9332611928,16.0281080606,,11.2211594227,8.2597169982,11.939665722,48.2401832993,15.274182882,15.8759490811,-84.2019204998,19.2302593763,118.0463555425,15669.5006069449,33.4434573068,20.6161721553
Q3.2022,2.9680777051,5.5214498946,14.8062812737,,8.1663843763,7.472041621,11.8391208908,51.7209255651,12.8636848028,24.1912561165,-69.5434255991,12.7082822177,114.2467424879,-111.0085310861,20.2575920014,22.3847098082
Q4.2022,3.5001553142,6.40502329,12.6878274207,,8.0551579935,7.0434861512,13.1497492922,31.9895973946,13.7896370037,14.886282082,170.1259338209,-23.1263405776,67.4888981102,-110.8082639901,17.4652958131,13.8472555678
Q1.2023,4.0808667702,10.1202064157,12.5506856713,,8.095315473,11.1322187455,12.6156092313,28.3550114669,15.4867933032,18.1844817225,582.9919665225,-21.9358374324,42.6022702524,533.7059815,21.5230580121,22.5587402271
Q2.2023,13.1050973102,11.8036996765,15.4491827903,,8.0305104332,9.4797158875,15.9620475065,17.2722675368,14.6845923613,19.0085096792,72.1338278561,-21.8380137736,48.3486647525,62.428612183,25.8239111694,19.9715022143
Q3.2023,7.3701360026,9.5555682028,14.2161409176,,8.1868321535,10.5675534054,14.4133739358,13.2996644901,10.0283509797,18.7978985006,487.9186934559,-21.6089367087,29.0186813046,34.4632883448,31.1063212957,19.938562008
Q4.2023,7.0073142522,11.8411276107,15.7719871138,,9.2756121653,13.8744089753,13.4227812905,16.5218295302,13.357555661,25.3726602271,-39.3832672443,161.7947932317,48.5966673753,31.176227483,302.3746194068,20.0227325208
Q1.2024,9.1329656739,15.0020886056,16.6377387481,,9.3876944474,17.9738680453,15.1588419824,18.0163588105,12.1100862147,43.4803578779,-25.0357220342,21.2978965107,79.495393774,24.8698008337,-190.1192861598,21.4385027314
Q2.2024,9.8079749984,10.5384895235,15.6211648905,,8.7462305644,12.5218911206,15.4099247434,15.4400790273,10.2089930821,27.6401328358,-18.36573083,18.8018150976,65.592216204,23.4702929308,-233.7190120116,20.9085516956
Q3.2024,0.0,10.4355075752,14.1483061774,,8.5652933539,9.693404186,13.626392041,16.916685265,10.5700210765,19.5128036808,-19.1546230887,21.9820189861,-2730.7725133242,18.5006697868,96.6579203032,16.7242282521
Q4.2024,78.3561392465,11.2061858489,13.1120130591,,8.1545938203,11.9193266404,13.4518358473,14.7732868701,8.2803334195,24.8600002382,295.7307634316,37.916613883,221.4898081733,14.0194349426,20.3263082445,11.1697990301
Q1.2025,-503.284994044,11.2250009268,15.0114268684,10.4838516425,7.8545894081,11.7918339214,15.8942403496,24.4314032388,10.2605967956,25.5418503419,230.678454274,-335.2948188934,159.2108550959,16.4565115797,18.5698263341,14.4611216477
Q2.2025,-1740.6750619732,11.1952358503,12.3440915634,,7.9006506234,14.8115109927,18.2452249598,20.2238566726,10.2273126089,22.5588607461,101.1412048726,49.7965993359,94.2862098503,14.563681882,15.6780899718,11.8763386273
Q3.2025,51.8203757928,11.2678006545,21.9639075174,,8.3593999405,17.5724148459,22.37668772,23.2035029521,10.5418599251,21.5915094069,-136128.5147829234,17.8782323549,59.8344265416,18.5418901171,20.8453125674,14.185590644
Q4.2025,29.5941862721,12.5842785147,19.9496318088,,7.5795243525,13.8777475753,22.9989424545,22.832440968,7.5485977072,16.0514241222,-46.6154485439,11.1842867923,55.0360413935,19.878333179,18.7891492466,12.078767723
