symbol,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024,year_2025,industry
AAA,0.0284,0.0522,0.0658,0.0311,0.0699,0.0374,0.0366,0.0126,0.0346,0.0316,0.0465,Hóa chất
AAM,0.0086,0.0064,0.0047,0.0453,0.0393,-0.0593,0.0012,0.0807,0.0035,-0.0321,0.0093,Thực phẩm và đồ uống
AAS,0.0044,0.0,0.008,0.0704,0.0559,0.0093,0.3109,0.1674,0.0259,0.0152,0.0401,Dịch vụ tài chính
AAT,0.0014,0.0003,0.0027,0.0438,0.0386,0.0,0.0325,0.0924,-0.0027,-0.0076,0.0189,Hàng cá nhân & Gia dụng
AAV,0.0075,0.0551,0.0786,0.1208,0.0615,0.0273,0.0325,0.0035,-0.0202,-0.0182,-0.02,Bất động sản
ABB,0.0064,0.0132,0.0221,0.0488,0.0446,0.0347,0.0453,0.0429,0.0115,0.0104,0.0681,Ngân hàng
ABI,0.1469,0.1847,0.1951,0.2295,0.2721,0.2804,0.2207,0.1593,0.1608,0.1329,0.1456,Bảo hiểm
ABR,0.0361,0.0135,0.0217,0.0489,0.0397,0.1022,0.0756,0.1031,0.098,0.0667,0.067,Hàng & Dịch vụ Công nghiệp
ABT,0.127,0.0761,0.046,0.1334,0.0983,0.0287,0.0609,0.1149,0.1081,0.1463,0.1934,Thực phẩm và đồ uống
ACB,0.0923,0.1211,0.0845,0.156,0.1667,0.1679,0.1176,0.1343,0.1247,0.1073,0.0756,Ngân hàng
ACC,0.1648,0.1907,0.1061,0.1374,0.1357,0.0875,0.0368,0.0441,0.0341,0.0256,0.0218,Xây dựng và Vật liệu
ACL,0.0258,0.0208,0.0207,0.1948,0.1062,0.0182,0.0323,0.0881,0.0061,0.007,0.0272,Thực phẩm và đồ uống
ADC,0.1908,0.1539,0.1913,0.189,0.1923,0.195,0.1553,0.1817,0.1824,0.1678,0.1344,Truyền thông
ADP,0.3154,0.3766,0.1909,0.1326,0.1701,0.2837,0.1783,0.146,0.2052,0.3132,0.2887,Xây dựng và Vật liệu
ADS,0.0133,0.035,0.0519,0.045,0.0069,0.0227,0.0767,0.0525,0.0414,0.0283,0.0545,Hàng cá nhân & Gia dụng
AFX,0.001,0.0162,0.0602,0.0128,0.0003,0.0448,0.0338,0.0289,0.0249,0.0257,0.0376,Bán lẻ
AGF,-0.0002,0.0016,-0.1319,-0.1805,-0.3114,-0.0141,-0.2736,-0.0731,-0.0271,-0.0169,-0.0151,Thực phẩm và đồ uống
AGP,0.0743,0.1032,0.1104,0.0922,0.0602,0.0571,0.0598,0.0631,0.057,0.0519,0.0478,Y tế
ALT,0.0275,0.0277,0.0361,0.0339,0.0385,0.0179,0.0221,0.0372,0.0272,0.0128,0.0352,Truyền thông
