symbol,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024,industry
AAA,0.0284,0.0522,0.0658,0.0311,0.0699,0.0374,0.0366,0.0126,0.0346,0.0316,Hóa chất
AAM,0.0086,0.0064,0.0047,0.0453,0.0393,-0.0593,0.0012,0.0807,0.0035,-0.0321,Thực phẩm và đồ uống
AAS,0.0044,0.0,0.008,0.0704,0.0559,0.0093,0.3109,0.1674,0.0259,0.0152,Dịch vụ tài chính
AAT,0.0014,0.0003,0.0027,0.0438,0.0386,0.0,0.0325,0.0924,-0.0027,-0.0076,Hàng cá nhân & Gia dụng
AAV,0.0075,0.0551,0.0786,0.1208,0.0615,0.0273,0.0325,0.0035,-0.0202,-0.0182,Bất động sản
ABB,0.0064,0.0132,0.0221,0.0488,0.0446,0.0347,0.0453,0.0429,0.0115,0.0104,Ngân hàng
ABI,0.1469,0.1847,0.1951,0.2295,0.2721,0.2804,0.2207,0.1593,0.1608,0.1329,Bảo hiểm
ABR,0.0361,0.0135,0.0217,0.0489,0.0397,0.1022,0.0756,0.1031,0.098,0.0667,Hàng & Dịch vụ Công nghiệp
ABT,0.127,0.0761,0.046,0.1334,0.0983,0.0287,0.0609,0.1149,0.1081,0.1463,Thực phẩm và đồ uống
ACB,0.0923,0.1211,0.0845,0.156,0.1667,0.1679,0.1176,0.1343,0.1247,0.1073,Ngân hàng
ACC,0.1648,0.1907,0.1061,0.1374,0.1357,0.0875,0.0368,0.0441,0.0341,0.0256,Xây dựng và Vật liệu
ACE,0.2217,0.2584,0.2105,0.1261,0.1415,0.1715,0.1708,0.1327,0.1307,0.1221,Xây dựng và Vật liệu
ACL,0.0258,0.0208,0.0207,0.1948,0.1062,0.0182,0.0323,0.0881,0.0061,0.007,Thực phẩm và đồ uống
ACM,0.0719,0.014,-0.0463,-0.1633,0.0002,-0.1217,-0.0292,-0.0222,-0.0236,-0.0216,Tài nguyên Cơ bản
ACS,0.0298,0.0488,0.0466,0.0596,0.0198,0.0538,0.0112,0.0,0.0001,0.0,Xây dựng và Vật liệu
