Symbol,Vốn Chủ Sở Hữu (tỷ VNĐ),LNST Q1.2024 (tỷ VNĐ),LNST Q1.2025 (tỷ VNĐ),% Giảm
VIC,151455.22,7934.47,6978.76,-12.04
BSR,60485.41,1143.82,398.72,-65.14
VGI,42843.24,1295.97,-32.46,-102.5
VPL,36627.0,2241.98,90.33,-95.97
VNM,34483.02,2194.67,1568.48,-28.53
PLX,29476.4,1072.97,133.41,-87.57
VEA,27213.87,1420.11,1259.45,-11.31
KSF,19799.26,333.94,31.76,-90.49
MVN,19350.32,342.46,269.94,-21.18
MCH,18662.14,1669.35,1585.81,-5.0
PVD,17096.47,157.91,152.86,-3.2
HHS,16510.55,149.8,67.4,-55.0
GMD,14860.04,559.42,402.98,-27.96
TCH,14270.53,141.01,37.87,-73.14
PNJ,13275.75,737.81,677.73,-8.14
VCG,12489.78,463.13,127.96,-72.37
SBT,12219.48,217.2,201.08,-7.42
CII,11966.47,259.43,18.07,-93.03
DPM,11532.97,264.18,204.94,-22.43
OIL,11531.52,233.38,27.95,-88.03
PVT,11490.88,230.92,215.06,-6.87
ITA,10768.49,19.78,7.26,-63.27
QNS,10652.57,531.84,391.63,-26.36
BGE,9044.35,57.63,4.37,-92.41
PC1,8888.59,80.55,55.28,-31.37
PVI,8530.28,361.23,336.32,-6.89
HDG,8377.55,221.35,155.07,-29.94
IDC,8263.03,695.14,343.28,-50.62
ASM,8207.4,58.48,15.87,-72.86
KDC,7737.77,9.53,-75.49,-892.21
NKG,7635.48,150.11,65.4,-56.43
CRV,7169.55,177.77,24.64,-86.14
HVN,6817.3,4334.45,3400.94,-21.54
BWE,6290.67,179.18,147.57,-17.64
SSH,6096.11,118.18,7.31,-93.82
AAA,6079.23,134.71,45.24,-66.42
FIT,6037.83,54.23,16.19,-70.14
QTP,5945.12,226.51,172.62,-23.79
CRE,5941.62,7.76,3.01,-61.23
VLC,5926.99,3.54,0.91,-74.44
APH,5796.73,42.15,13.89,-67.04
HQC,5466.93,5.24,5.16,-1.68
VCS,5132.69,204.74,164.58,-19.62
VIF,5077.34,116.84,4.23,-96.38
IPA,4901.57,100.62,17.84,-82.27
SAM,4762.29,20.98,3.52,-83.23
CC1,4526.14,8.96,8.82,-1.5
PPC,4471.06,157.39,52.33,-66.75
THD,4415.07,43.61,26.26,-39.78
C4G,4016.1,41.86,16.91,-59.6
GDA,3967.03,95.41,62.69,-34.29
DVN,3911.8,80.66,72.63,-9.95
HPX,3553.44,16.85,14.46,-14.17
IDP,3521.68,223.37,107.0,-52.1
AGG,3515.0,200.29,10.27,-94.87
RTB,3011.43,109.89,42.84,-61.01
TLP,2897.87,33.34,19.83,-40.52
SVC,2866.95,13.73,10.93,-20.38
GIL,2663.74,5.19,2.87,-44.72
FMC,2645.03,49.7,29.62,-40.41
VSF,2595.79,1.19,-5.34,-549.6
TLG,2527.5,88.28,78.9,-10.63
RGG,2518.26,42.88,10.45,-75.62
TSC,2500.3,-0.25,-1.32,-426.1
DNW,2484.02,73.54,4.06,-94.48
SID,2483.87,23.76,18.87,-20.59
