symbol,rsi,price,last_update
QTC,0.0,28500.0,2026-01-23
SDC,0.0,6500.0,2026-01-23
HEV,0.0,7800.0,2026-01-23
SDG,0.0,10200.0,2026-01-23
AMV,0.0,2000.0,2026-01-23
ATS,0.0,19500.0,2026-01-23
SPC,0.0,7500.0,2026-01-23
PMP,0.0,12300.0,2026-01-23
BAX,0.0,34000.0,2026-01-23
SSM,0.0,4700.0,2026-01-23
CNN,0.0,60000.0,2026-01-23
MPY,0.0,6800.0,2026-01-23
HBD,0.0,19000.0,2026-01-23
CCM,0.0,39000.0,2026-01-23
PVR,0.0,1100.0,2026-01-23
BGW,0.0,16000.0,2026-01-23
LUT,0.0,500.0,2026-01-23
PJS,0.0,22000.0,2026-01-23
MPT,0.0,500.0,2026-01-23
DAS,0.0,10600.0,2026-01-23
SPD,0.0,8000.0,2026-01-23
TUG,0.0,17000.0,2026-01-23
TTS,0.0,4500.0,2026-01-23
DCG,0.0,15800.0,2026-01-23
DVW,0.0,32200.0,2026-01-23
DDM,0.0,1800.0,2026-01-23
TVH,0.0,74500.0,2026-01-23
MTV,0.0,16000.0,2026-01-23
PDC,0.0,5200.0,2026-01-23
BMV,0.0,4800.0,2026-01-23
DNL,0.0,22300.0,2026-01-23
BVG,0.0,2700.0,2026-01-23
VNX,0.0,9500.0,2026-01-23
SPB,0.0,17400.0,2026-01-23
PWS,0.0,12000.0,2026-01-23
PNT,0.0,9300.0,2026-01-23
PVX,0.0,2400.0,2026-01-23
APL,0.0,12900.0,2026-01-23
BMG,0.0,17100.0,2026-01-23
MTS,0.0,9300.0,2026-01-23
DPC,0.0,9000.0,2026-01-23
LMC,0.0,5200.0,2026-01-23
FCC,0.0,14000.0,2026-01-23
RBC,0.0,5600.0,2026-01-23
PVY,0.0,2100.0,2026-01-23
VHH,0.0,3900.0,2026-01-23
TPS,0.0,51000.0,2026-01-23
MGG,0.0,25500.0,2026-01-23
VXT,0.0,45000.0,2026-01-23
VBH,0.0,13600.0,2026-01-23
CCV,0.0,65000.0,2026-01-23
VSG,0.0,1400.0,2026-01-23
VPC,0.0,2100.0,2026-01-23
DOP,0.0,12000.0,2026-01-23
BCP,0.0,10200.0,2026-01-23
SHC,0.0,11000.0,2026-01-23
VQC,0.0,13000.0,2026-01-23
DWS,0.0,15000.0,2026-01-23
VDN,0.0,36900.0,2026-01-23
TVA,0.0,12500.0,2026-01-23
NDW,0.0,14300.0,2026-01-23
BBH,0.0,12500.0,2026-01-23
VNH,0.0,1200.0,2026-01-23
TIX,0.0,41700.0,2026-01-23
TPC,0.0,13000.0,2026-01-23
DTT,0.0,15950.0,2026-01-23
VVS,1.57,61000.0,2026-01-23
KMT,2.94,8900.0,2026-01-23
ARM,3.12,33500.0,2026-01-23
DFC,5.0,27700.0,2026-01-23
RGG,5.56,34400.0,2026-01-23
HKT,6.9,10000.0,2026-01-23
DHD,7.14,34000.0,2026-01-23
NTT,7.69,8500.0,2026-01-23
MTG,9.09,6700.0,2026-01-23
XMP,9.09,15600.0,2026-01-23
DWC,10.0,17200.0,2026-01-23
MQN,10.53,17500.0,2026-01-23
HPB,10.71,18400.0,2026-01-23
HNP,10.71,11700.0,2026-01-23
BFC,11.73,46800.0,2026-01-23
TDM,12.2,56800.0,2026-01-23
MPC,12.5,16000.0,2026-01-23
PEQ,12.5,36300.0,2026-01-23
MTP,13.33,13300.0,2026-01-23
YBC,13.33,8800.0,2026-01-23
AGX,13.48,172600.0,2026-01-23
HAM,13.89,47400.0,2026-01-23
VBC,14.29,20800.0,2026-01-23
HNB,15.38,12400.0,2026-01-23
SKH,16.67,24200.0,2026-01-23
CLW,18.06,40750.0,2026-01-23
QHD,18.18,47300.0,2026-01-23
MKV,18.37,19500.0,2026-01-23
GLT,18.42,25900.0,2026-01-23
BIG,18.6,5300.0,2026-01-23
VIT,18.75,22500.0,2026-01-23
HOT,18.78,12000.0,2026-01-23
BOT,20.0,1900.0,2026-01-23
BPC,20.0,12300.0,2026-01-23
DMN,20.0,7700.0,2026-01-23
VPI,20.93,54700.0,2026-01-23
SHP,21.05,34400.0,2026-01-23
ATG,21.43,9000.0,2026-01-23
HRC,21.68,28450.0,2026-01-23
CET,22.22,9000.0,2026-01-23
MTH,22.22,24500.0,2026-01-23
SCD,22.92,12400.0,2026-01-23
CPA,23.08,7900.0,2026-01-23
DCL,23.53,53800.0,2026-01-23
PCT,23.81,8800.0,2026-01-23
NNT,24.0,58700.0,2026-01-23
QNS,24.44,46700.0,2026-01-23
DNC,24.7,50600.0,2026-01-23
VIH,24.79,22100.0,2026-01-23
BSR,24.81,20650.0,2026-01-23
TLT,25.0,26300.0,2026-01-23
EBS,25.0,11700.0,2026-01-23
KDC,25.64,50100.0,2026-01-23
SJG,25.64,18100.0,2026-01-23
HHP,25.71,12700.0,2026-01-23
VHL,25.81,11300.0,2026-01-23
PIV,25.81,7500.0,2026-01-23
FMC,25.93,37350.0,2026-01-23
TGP,26.09,6300.0,2026-01-23
APF,26.23,40100.0,2026-01-23
PVD,26.38,27600.0,2026-01-23
VSN,26.67,16900.0,2026-01-23
MDG,27.48,34000.0,2026-01-23
THW,27.59,17600.0,2026-01-23
PRO,27.63,14500.0,2026-01-23
CLM,28.07,68000.0,2026-01-23
TIN,28.08,67000.0,2026-01-23
BCF,28.57,40700.0,2026-01-23
CDP,28.57,10900.0,2026-01-23
GIC,28.57,14400.0,2026-01-23
HCD,28.57,7630.0,2026-01-23
TBR,28.57,7500.0,2026-01-23
HPO,28.57,15200.0,2026-01-23
SFI,28.85,26900.0,2026-01-23
TVS,28.95,14300.0,2026-01-23
BHH,29.03,17600.0,2026-01-23
PBT,29.31,15500.0,2026-01-23
DHC,29.48,34150.0,2026-01-23
PAN,29.55,29000.0,2026-01-23
